starttime,tripduration
2020-09-01 07:53:00,1344
2020-09-01 07:53:00,582
2020-09-01 07:53:00,1235
2020-09-01 07:54:00,929
2020-09-01 07:54:00,712
2020-09-01 07:54:00,920
2020-09-01 07:54:00,961
2020-09-01 07:54:00,2921
2020-09-01 07:54:00,700
2020-09-01 07:54:00,1136
2020-09-01 07:54:00,102
2020-09-01 07:54:00,1535
2020-09-01 07:55:00,1565
2020-09-01 07:55:00,543
2020-09-01 07:55:00,766
2020-09-01 07:55:00,348
2020-09-01 07:55:00,499
2020-09-01 07:55:00,1058
2020-09-01 07:55:00,385
2020-09-01 07:56:00,69
2020-09-01 07:56:00,1436
2020-09-01 07:56:00,1057
2020-09-01 07:56:00,622
2020-09-01 07:56:00,720
2020-09-01 07:56:00,921
2020-09-01 07:56:00,891
2020-09-01 07:57:00,798
2020-09-01 07:57:00,914
2020-09-01 07:57:00,540
2020-09-01 07:57:00,668
2020-09-01 07:57:00,1334
2020-09-01 07:58:00,628
2020-09-01 07:58:00,247
2020-09-01 07:58:00,365
2020-09-01 07:58:00,339
2020-09-01 07:58:00,1030
2020-09-01 07:58:00,1244
2020-09-01 07:59:00,1765
2020-09-01 07:59:00,1557
2020-09-01 07:59:00,1174
2020-09-01 07:59:00,416
2020-09-01 07:59:00,655
2020-09-01 07:59:00,893
2020-09-01 07:59:00,870
2020-09-01 07:59:00,278
2020-09-01 07:59:00,1253
2020-09-01 08:00:00,786
2020-09-01 08:00:00,947
2020-09-01 08:00:00,893
2020-09-01 08:00:00,899
2020-09-01 08:00:00,697
2020-09-01 08:01:00,1287
2020-09-01 08:01:00,2485
2020-09-01 08:01:00,493
2020-09-01 08:01:00,734
2020-09-01 08:01:00,389
2020-09-01 08:01:00,389
2020-09-01 08:02:00,560
2020-09-01 08:02:00,141
2020-09-01 08:02:00,191
2020-09-01 08:02:00,91
2020-09-01 08:02:00,3261
2020-09-01 08:02:00,1780
2020-09-01 08:03:00,1090
2020-09-01 08:03:00,1912
2020-09-01 08:03:00,921
2020-09-01 08:03:00,690
2020-09-01 08:04:00,2470
2020-09-01 08:04:00,481
2020-09-01 08:04:00,537
2020-09-01 08:04:00,2107
2020-09-01 08:04:00,283
2020-09-01 08:04:00,629
2020-09-01 08:04:00,248
2020-09-01 08:04:00,1533
2020-09-01 08:05:00,706
2020-09-01 08:05:00,1900
2020-09-01 08:05:00,485
2020-09-01 08:05:00,1997
2020-09-01 08:06:00,480
2020-09-01 08:06:00,1126
2020-09-01 08:06:00,819
2020-09-01 08:06:00,781
